filename,width,height,class,xmin,ymin,xmax,ymax
Bicon-77_jpg.rf.13c25643383c194b220f5d234166cd42.jpg,416,416,Bicon,25,189,190,262
Bicon-266_jpg.rf.1467f110b98a1704c8c78be3d087ed3a.jpg,416,416,Bicon,51,192,205,248
Bicon-266_jpg.rf.1467f110b98a1704c8c78be3d087ed3a.jpg,416,416,Bicon,20,87,204,141
ITI-411_jpg.rf.148b283603585104e38fa60ce4f216af.jpg,416,416,ITI,94,185,168,351
Bicon-573_jpg.rf.14b04f8ee5af54869638c68665d6bf62.jpg,416,416,Bicon,202,48,307,182
Bicon-573_jpg.rf.14b04f8ee5af54869638c68665d6bf62.jpg,416,416,Bicon,47,75,140,179
ITI-256_jpg.rf.14b0b2e3eeacc1607088328e6b49d8f1.jpg,416,416,ITI,98,128,149,145
ITI-139_jpg.rf.14b230481595255cad1d0f0244be85a4.jpg,416,416,ITI,249,301,302,321
ITI-139_jpg.rf.14b230481595255cad1d0f0244be85a4.jpg,416,416,ITI,263,281,309,297
ITI-139_jpg.rf.14b230481595255cad1d0f0244be85a4.jpg,416,416,ITI,278,133,322,150
bego-11_jpg.rf.14d1f496e842d8de1f008ba284e99c14.jpg,416,416,Bego,49,303,173,375
bego-11_jpg.rf.14d1f496e842d8de1f008ba284e99c14.jpg,416,416,Bego,34,202,166,282
Bicon-620_jpg.rf.141b49483107b8145d0acc11e82da3e6.jpg,416,416,Bicon,254,148,287,160
Bicon-620_jpg.rf.141b49483107b8145d0acc11e82da3e6.jpg,416,416,Bicon,270,240,308,252
Bicon-223_jpg.rf.14a9c95c5ca5e743acd7d42e1db50a54.jpg,416,416,Bicon,77,152,212,222
Bicon-224_jpg.rf.15169f6775558b17bdbdb3775702565c.jpg,416,416,Bicon,267,280,307,297
Bicon-317_jpg.rf.15085d17915d516d2287da16aa7a5c22.jpg,416,416,Bicon,285,143,303,185
Bicon-317_jpg.rf.15085d17915d516d2287da16aa7a5c22.jpg,416,416,Bicon,115,154,129,183
Bicon-429_jpg.rf.1428bc5ce5c9eea4a3ca5b8278280c3c.jpg,416,416,Bicon,113,242,177,372
Bicon-429_jpg.rf.1428bc5ce5c9eea4a3ca5b8278280c3c.jpg,416,416,Bicon,193,255,256,381
ITI-8_jpg.rf.152736f605afddd176842103f0a9754f.jpg,416,416,ITI,216,265,261,275

Bicon-509_jpg.rf.14c7b06af69b503bb8d0d8cf8dc30282.jpg,416,416,Bicon,91,73,320,313
ITI-226_jpg.rf.14f0f7f13b5d6c82958f928c9b1b47d7.jpg,416,416,ITI,266,120,323,141
bego-62_jpg.rf.157dad412591af31c99b7b4f08007cd9.jpg,416,416,Bego,53,227,131,353
bego-62_jpg.rf.157dad412591af31c99b7b4f08007cd9.jpg,416,416,Bego,150,198,234,324
bego-13_jpg.rf.15e451c684554184984814884cd2a0dc.jpg,416,416,Bego,172,157,234,339
bego-13_jpg.rf.15e451c684554184984814884cd2a0dc.jpg,416,416,Bego,352,203,405,376
ITI-212_jpg.rf.16568da013d9ee87ab5321c18d1f2d91.jpg,416,416,ITI,218,261,272,279
Bicon-29_jpg.rf.15f3bf3f1d17ed7c5f913e8c5bf7545f.jpg,416,416,Bicon,170,171,324,231
Bicon-29_jpg.rf.15f3bf3f1d17ed7c5f913e8c5bf7545f.jpg,416,416,Bicon,180,278,336,346
ITI-257_jpg.rf.15850f7ed08dccead4ada22a9be7056c.jpg,416,416,ITI,130,271,154,315
ITI-368_jpg.rf.16d342232f72514f7d09ffc8b6da0faf.jpg,416,416,ITI,296,74,398,208
Bicon-488_jpg.rf.184cb8f4043ebef53156bb86e280d575.jpg,416,416,Bicon,143,177,233,337
ITI-300_jpg.rf.16848f6c00c0063370d46447a2f2e54d.jpg,416,416,ITI,104,105,146,127
ITI-300_jpg.rf.16848f6c00c0063370d46447a2f2e54d.jpg,416,416,ITI,93,295,131,315
ITI-300_jpg.rf.16848f6c00c0063370d46447a2f2e54d.jpg,416,416,ITI,82,127,132,151
ITI-300_jpg.rf.16848f6c00c0063370d46447a2f2e54d.jpg,416,416,ITI,80,267,124,285
ITI-262_jpg.rf.1707aab3c30f85bffae0287fe606ecd2.jpg,416,416,ITI,260,249,281,295
bego-12_jpg.rf.17a8c321179667fcf63f5150b5d354cb.jpg,416,416,Bego,107,93,328,177
Bicon-2_jpg.rf.15caed66f9008920abdf32db410b2eff.jpg,416,416,Bicon,135,138,271,198
ITI-136_jpg.rf.16d1f8eadf136c3709d9a6743d76f831.jpg,416,416,ITI,199,184,294,353
Bicon-477_jpg.rf.1951025fae0e3789b77ea862f9de1a2b.jpg,416,416,Bicon,227,208,360,264

Bicon-430_jpg.rf.172ab74b9a42f4798da613831f38da7a.jpg,416,416,Bicon,211,152,349,213
